,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
0,H Sutcliffe (ENG),v Australia,Melbourne,13 Feb 1925,14 Jun 1924,0y 244d,9,12,Test # 161
1,ED Weekes (WI),v India,Brabourne,4 Feb 1949,21 Jan 1948,1y 14d,9,12,Test # 311
2,DG Bradman (AUS),v England,Leeds,11 Jul 1930,30 Nov 1928,1y 223d,7,13,Test # 196
3,RN Harvey (AUS),v England,Brisbane,1 Dec 1950,23 Jan 1948,2y 312d,10,14,Test # 327
4,VG Kambli (INDIA),v West Indies,Wankhede,18 Nov 1994,29 Jan 1993,1y 293d,12,14,Test # 1274
5,L Hutton (ENG),v West Indies,Lord's,24 Jun 1939,26 Jun 1937,1y 363d,11,16,Test # 272
6,FMM Worrell (WI),v Australia,Adelaide,22 Dec 1951,11 Feb 1948,3y 314d,10,16,Test # 343
7,LG Rowe (WI),v England,Port of Spain,30 Mar 1974,16 Feb 1972,2y 42d,12,16,Test # 738
8,GA Headley (WI),v Australia,Sydney,27 Feb 1931,11 Jan 1930,1y 47d,9,17,Test # 208
9,SG Barnes (AUS),v England,Lord's,24 Jun 1948,20 Aug 1938,9y 309d,11,17,Test # 300
10,GC Smith (SA),v England,Lord's,31 Jul 2003,8 Mar 2002,1y 145d,12,17,Test # 1653
11,GS Ballance (ENG),v West Indies,St George's,21 Apr 2015,3 Jan 2014,1y 108d,10,17,Test # 2158
12,HL Collins (AUS),v England,Sydney,19 Dec 1924,17 Dec 1920,4y 2d,12,18,Test # 158
13,WR Hammond (ENG),v Australia,Adelaide,1 Feb 1929,24 Dec 1927,1y 39d,12,18,Test # 179
14,KD Walters (AUS),v England,Leeds,25 Jul 1968,10 Dec 1965,2y 228d,11,18,Test # 640
15,MA Taylor (AUS),v Sri Lanka,Brisbane,8 Dec 1989,26 Jan 1989,0y 316d,10,18,Test # 1131
16,JC Adams (WI),v India,Mohali,10 Dec 1994,18 Apr 1992,2y 236d,12,18,Test # 1278
17,CA Pujara (INDIA),v Australia,Hyderabad (Deccan),2 Mar 2013,9 Oct 2010,2y 144d,11,18,Test # 2076
18,AC Voges (AUS),v West Indies,Melbourne,26 Dec 2015,3 Jun 2015,0y 206d,12,18,Test # 2195
19,AK Markram (SA),v Australia,Johannesburg,30 Mar 2018,28 Sep 2017,0y 183d,10,18,Test # 2302
20,M Labuschagne (AUS),v New Zealand,Perth,12 Dec 2019,7 Oct 2018,1y 66d,12,18,Test # 2374
21,AR Morris (AUS),v England,Manchester,8 Jul 1948,29 Nov 1946,1y 222d,12,19,Test # 301
22,AJ Strauss (ENG),v South Africa,Cape Town,2 Jan 2005,20 May 2004,0y 227d,10,19,Test # 1732
23,MEK Hussey (AUS),v Bangladesh,Chattogram,16 Apr 2006,3 Nov 2005,0y 164d,11,19,Test # 1799
24,MA Agarwal (INDIA),v Australia,Adelaide,17 Dec 2020,26 Dec 2018,1y 357d,12,19,Test # 2396
25,JHW Fingleton (AUS),v England,Melbourne,1 Jan 1937,12 Feb 1932,4y 324d,12,20,Test # 257
26,Saeed Ahmed (PAK),v Australia,Karachi,4 Dec 1959,17 Jan 1958,1y 321d,11,20,Test # 481
27,NCL O'Neill (AUS),v West Indies,Brisbane,9 Dec 1960,5 Dec 1958,2y 4d,14,20,Test # 498
28,BC Booth (AUS),v South Africa,Sydney,7 Feb 1964,27 Jul 1961,2y 195d,11,20,Test # 555
29,DI Gower (ENG),v India,Birmingham,12 Jul 1979,1 Jun 1978,1y 41d,13,20,Test # 851
30,JF Reid (NZ),v Pakistan,Auckland,25 Jan 1985,23 Feb 1979,5y 337d,12,20,Test # 1010
31,SL Campbell (WI),v Australia,Brisbane,22 Nov 1996,3 Feb 1995,1y 293d,12,20,Test # 1340
32,MH Richardson (NZ),v Bangladesh,Hamilton,18 Dec 2001,12 Sep 2000,1y 97d,13,20,Test # 1577
33,AB de Villiers (SA),v Australia,Perth,16 Dec 2005,17 Dec 2004,0y 364d,12,20,Test # 1777
34,W Bardsley (AUS),v England,Sydney,15 Dec 1911,27 May 1909,2y 202d,11,21,Test # 116
35,CP Mead (ENG),v South Africa,Johannesburg,9 Feb 1923,15 Dec 1911,11y 56d,15,21,Test # 151
36,WM Woodfull (AUS),v England,Leeds,11 Jul 1930,12 Jun 1926,4y 29d,13,21,Test # 196
37,E Paynter (ENG),v South Africa,Johannesburg,24 Dec 1938,15 Aug 1931,7y 131d,14,21,Test # 267
38,AL Hassett (AUS),v England,Nottingham,10 Jun 1948,10 Jun 1938,10y 0d,15,21,Test # 299
39,CC McDonald (AUS),v West Indies,Bridgetown,14 May 1955,25 Jan 1952,3y 109d,12,21,Test # 406
40,WM Lawry (AUS),v South Africa,Melbourne,1 Jan 1964,8 Jun 1961,2y 207d,12,21,Test # 549
41,EJ Barlow (SA),v New Zealand,Wellington,21 Feb 1964,8 Dec 1961,2y 75d,11,21,Test # 558
42,RM Cowper (AUS),v England,Melbourne,11 Feb 1966,2 Jul 1964,1y 224d,14,21,Test # 601
43,SM Gavaskar (INDIA),v England,Kanpur,25 Jan 1973,6 Mar 1971,1y 325d,11,21,Test # 709
44,AI Kallicharran (WI),v England,Bridgetown,6 Mar 1974,6 Apr 1972,1y 334d,13,21,Test # 734
45,PJL Dujon (WI),v Australia,Port of Spain,16 Mar 1984,26 Dec 1981,2y 81d,16,21,Test # 983
46,BC Lara (WI),v England,Georgetown,17 Mar 1994,6 Dec 1990,3y 101d,13,21,Test # 1254
47,JD Ryder (NZ),v India,Ahmedabad,4 Nov 2010,17 Oct 2008,2y 18d,12,21,Test # 1974
48,Mominul Haque (BAN),v Zimbabwe,Khulna,3 Nov 2014,8 Mar 2013,1y 240d,11,21,Test # 2143
49,PE Richardson (ENG),v West Indies,Nottingham,4 Jul 1957,7 Jun 1956,1y 27d,13,22,Test # 441
50,KF Barrington (ENG),v South Africa,Manchester,21 Jul 1960,9 Jun 1955,5y 42d,15,22,Test # 495
51,PH Parfitt (ENG),v India,Kanpur,15 Feb 1964,30 Dec 1961,2y 47d,17,22,Test # 557
52,RG Pollock (SA),v England,Nottingham,5 Aug 1965,6 Dec 1963,1y 242d,13,22,Test # 595
53,JH Edrich (ENG),v Australia,Melbourne,11 Feb 1966,6 Jun 1963,2y 250d,15,22,Test # 601
54,CA Davis (WI),v New Zealand,Bridgetown,23 Mar 1972,26 Dec 1968,3y 88d,11,22,Test # 695
55,Sadiq Mohammad (PAK),v England,Lahore,2 Mar 1973,24 Oct 1969,3y 129d,13,22,Test # 715
56,DL Haynes (WI),v Pakistan,Lahore,24 Nov 1980,3 Mar 1978,2y 266d,14,22,Test # 886
57,WA Brown (AUS),v England,Lord's,24 Jun 1938,8 Jun 1934,4y 16d,14,23,Test # 264
58,AF Rae (WI),v India,Port of Spain,21 Jan 1953,10 Nov 1948,4y 72d,14,23,Test # 363
59,B Sutcliffe (NZ),v South Africa,Johannesburg,24 Dec 1953,21 Mar 1947,6y 278d,13,23,Test # 378
60,Javed Miandad (PAK),v India,Faisalabad,16 Oct 1978,9 Oct 1976,2y 7d,14,23,Test # 831
61,RL Dias (SL),v India,Kandy,14 Sep 1985,17 Feb 1982,3y 209d,12,23,Test # 1025
62,SV Manjrekar (INDIA),v England,Manchester,9 Aug 1990,25 Nov 1987,2y 257d,14,23,Test # 1149
63,MA Atherton (ENG),v Australia,Adelaide,25 Jan 1991,10 Aug 1989,1y 168d,12,23,Test # 1161
64,MJ Slater (AUS),v South Africa,Cape Town,17 Mar 1994,3 Jun 1993,0y 287d,14,23,Test # 1253
65,S Chanderpaul (WI),v Australia,Adelaide,25 Jan 1997,17 Mar 1994,2y 314d,15,23,Test # 1352
66,R Dravid (INDIA),v West Indies,Georgetown,17 Apr 1997,20 Jun 1996,0y 301d,14,23,Test # 1365
67,SC Ganguly (INDIA),v Sri Lanka,Mohali,19 Nov 1997,20 Jun 1996,1y 152d,15,23,Test # 1385
68,MTG Elliott (AUS),v New Zealand,Hobart,27 Nov 1997,22 Nov 1996,1y 5d,14,23,Test # 1388
69,DS Lehmann (AUS),v Sri Lanka,Galle,8 Mar 2004,25 Mar 1998,5y 349d,16,23,Test # 1685
70,KP Pietersen (ENG),v Sri Lanka,Lord's,11 May 2006,21 Jul 2005,0y 294d,12,23,Test # 1802
71,MG Vandort (SL),v West Indies,Providence,22 Mar 2008,6 Sep 2001,6y 198d,15,23,Test # 1869
72,IJL Trott (ENG),v Pakistan,Lord's,26 Aug 2010,20 Aug 2009,1y 6d,13,23,Test # 1971
73,DM Bravo (WI),v India,Wankhede,22 Nov 2011,15 Nov 2010,1y 7d,13,23,Test # 2019
74,F du Plessis (SA),v Sri Lanka,Galle,16 Jul 2014,22 Nov 2012,1y 236d,15,23,Test # 2129
75,UT Khawaja (AUS),v New Zealand,Wellington,12 Feb 2016,3 Jan 2011,5y 40d,14,23,Test # 2201
76,Q de Kock (SA),v Sri Lanka,Cape Town,2 Jan 2017,20 Feb 2014,2y 317d,15,23,Test # 2244
77,DM de Silva (SL),v Bangladesh,Chattogram,31 Jan 2018,26 Jul 2016,1y 189d,12,23,Test # 2295
78,C Hill (AUS),v England,Adelaide,17 Jan 1902,22 Jun 1896,5y 209d,14,24,Test # 67
79,JB Hobbs (ENG),v Australia,Sydney,15 Dec 1911,1 Jan 1908,3y 348d,13,24,Test # 116
80,CC Hunte (WI),v England,Kingston,17 Feb 1960,17 Jan 1958,2y 31d,14,24,Test # 489
81,G Pullar (ENG),v Australia,Lord's,22 Jun 1961,2 Jul 1959,1y 355d,13,24,Test # 508
82,BF Butcher (WI),v England,The Oval,22 Aug 1963,28 Nov 1958,4y 267d,15,24,Test # 547
83,SM Nurse (WI),v England,Leeds,4 Aug 1966,17 Feb 1960,6y 168d,13,24,Test # 608
84,AW Greig (ENG),v New Zealand,Nottingham,7 Jun 1973,8 Jun 1972,0y 364d,14,24,Test # 722
85,RB McCosker (AUS),v Pakistan,Melbourne,1 Jan 1977,4 Jan 1975,1y 363d,13,24,Test # 790
86,CG Greenidge (WI),v Pakistan,Bridgetown,18 Feb 1977,22 Nov 1974,2y 88d,13,24,Test # 797
87,AH Jones (NZ),v Australia,Wellington,15 Mar 1990,16 Apr 1987,2y 333d,14,24,Test # 1141
88,DL Houghton (ZIM),v New Zealand,Hamilton,13 Jan 1996,18 Oct 1992,3y 87d,15,24,Test # 1322
89,CD McMillan (NZ),v England,Manchester,5 Aug 1999,7 Nov 1997,1y 271d,14,24,Test # 1457
90,DPMD Jayawardene (SL),v Pakistan,Rawalpindi,26 Feb 2000,2 Aug 1997,2y 208d,16,24,Test # 1485
91,Taufeeq Umar (PAK),v Bangladesh,Karachi,20 Aug 2003,29 Aug 2001,1y 356d,14,24,Test # 1655
92,V Sehwag (INDIA),v New Zealand,Mohali,16 Oct 2003,3 Nov 2001,1y 347d,16,24,Test # 1662
93,TT Samaraweera (SL),v Australia,Darwin,1 Jul 2004,29 Aug 2001,2y 307d,19,24,Test # 1705
94,JA Rudolph (SA),v Sri Lanka,Galle,4 Aug 2004,24 Apr 2003,1y 102d,15,24,Test # 1709
95,AN Cook (ENG),v Australia,Melbourne,26 Dec 2006,1 Mar 2006,0y 300d,13,24,Test # 1824
96,Abid Ali (PAK),v Bangladesh,Chattogram,26 Nov 2021,11 Dec 2019,1y 350d,15,24,Test # 2436
97,TW Hayward (ENG),v Australia,Sydney,13 Dec 1901,13 Feb 1896,5y 303d,16,25,Test # 65
98,EH Hendren (ENG),v Australia,Melbourne,13 Feb 1925,17 Dec 1920,4y 58d,16,25,Test # 161
99,RH Catterall (SA),v England,Johannesburg,28 Jan 1928,23 Dec 1922,5y 36d,14,25,Test # 171
100,WH Ponsford (AUS),v West Indies,Sydney,1 Jan 1931,19 Dec 1924,6y 13d,15,25,Test # 201
101,LEG Ames (ENG),v West Indies,Lord's,24 Jun 1933,17 Aug 1929,3y 311d,17,25,Test # 227
102,AD Nourse (SA),v England,Durban,3 Mar 1939,15 Jun 1935,3y 261d,14,25,Test # 271
103,J Hardstaff (ENG),v West Indies,The Oval,19 Aug 1939,13 Jul 1935,4y 37d,16,25,Test # 274
104,VS Hazare (INDIA),v West Indies,Brabourne,4 Feb 1949,22 Jun 1946,2y 227d,13,25,Test # 311
105,JB Stollmeyer (WI),v Australia,Sydney,30 Nov 1951,24 Jun 1939,12y 159d,15,25,Test # 341
106,DJ McGlew (SA),v England,Nottingham,9 Jun 1955,7 Jun 1951,4y 2d,14,25,Test # 407
107,KC Bland (SA),v England,Johannesburg,23 Dec 1964,8 Dec 1961,3y 15d,14,25,Test # 572
108,BW Luckhurst (ENG),v India,The Oval,19 Aug 1971,27 Nov 1970,0y 265d,13,25,Test # 692
109,IVA Richards (WI),v India,Port of Spain,24 Mar 1976,22 Nov 1974,1y 123d,15,25,Test # 774
110,SM Patil (INDIA),v Sri Lanka,Chennai,17 Sep 1982,15 Jan 1980,2y 245d,16,25,Test # 934
111,Mohsin Khan (PAK),v Australia,Faisalabad,30 Sep 1982,18 Jan 1978,4y 255d,15,25,Test # 936
112,RB Richardson (WI),v England,Port of Spain,7 Mar 1986,24 Nov 1983,2y 103d,17,25,Test # 1039
113,RT Robinson (ENG),v West Indies,St John's,11 Apr 1986,28 Nov 1984,1y 134d,15,25,Test # 1045
114,M Azharuddin (INDIA),v Sri Lanka,Kanpur,17 Dec 1986,31 Dec 1984,1y 351d,16,25,Test # 1061
115,DM Jones (AUS),v England,Sydney,29 Jan 1988,16 Mar 1984,3y 319d,14,25,Test # 1090
116,RA Smith (ENG),v New Zealand,Lord's,21 Jun 1990,21 Jul 1988,1y 335d,14,25,Test # 1146
117,AC Hudson (SA),v Australia,Durban,25 Mar 1994,18 Apr 1992,1y 341d,14,25,Test # 1256
118,Saeed Anwar (PAK),v Sri Lanka,Faisalabad,15 Sep 1995,23 Nov 1990,4y 296d,14,25,Test # 1305
119,A Flower (ZIM),v New Zealand,Auckland,20 Jan 1996,18 Oct 1992,3y 94d,16,25,Test # 1323
120,GS Blewett (AUS),v South Africa,Gqeberha,14 Mar 1997,26 Jan 1995,2y 47d,15,25,Test # 1360
121,S Ramesh (INDIA),v Australia,Wankhede,27 Feb 2001,28 Jan 1999,2y 30d,13,25,Test # 1531
122,KC Sangakkara (SL),v West Indies,Colombo (SSC),29 Nov 2001,20 Jul 2000,1y 132d,16,25,Test # 1572
123,DA Warner (AUS),v Sri Lanka,Sydney,3 Jan 2013,1 Dec 2011,1y 33d,15,25,Test # 2070
124,AM Rahane (INDIA),v Australia,Melbourne,26 Dec 2014,22 Mar 2013,1y 279d,13,25,Test # 2152
125,LD Chandimal (SL),v New Zealand,Wellington,3 Jan 2015,26 Dec 2011,3y 8d,15,25,Test # 2155
126,S Dhawan (INDIA),v Sri Lanka,Galle,12 Aug 2015,14 Mar 2013,2y 151d,15,25,Test # 2176
127,KL Rahul (INDIA),v Australia,Bengaluru,4 Mar 2017,26 Dec 2014,2y 68d,15,25,Test # 2251
