,Player,Mat,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
0,DG Bradman,6,13,270,,Australia,v England,Melbourne,1 Jan 1937,Test # 257
1,,,26,212,,Australia,v England,Adelaide,29 Jan 1937,Test # 258
2,,,169,-,,Australia,v England,Melbourne,26 Feb 1937,Test # 259
3,,,51,144*,,Australia,v England,Nottingham,10 Jun 1938,Test # 263
4,,,18,102*,,Australia,v England,Lord's,24 Jun 1938,Test # 264
5,,,103,16,,Australia,v England,Leeds,22 Jul 1938,Test # 265
6,JH Kallis,5,158,44,,South Africa,v West Indies,Johannesburg,12 Dec 2003,Test # 1674
7,,,177,-,,South Africa,v West Indies,Durban,26 Dec 2003,Test # 1679
8,,,73,130*,,South Africa,v West Indies,Cape Town,2 Jan 2004,Test # 1681
9,,,130*,DNB,,South Africa,v West Indies,Centurion,16 Jan 2004,Test # 1682
10,,,92,150*,,South Africa,v New Zealand,Hamilton,10 Mar 2004,Test # 1686
11,Mohammad Yousuf,5,192,8,,Pakistan,v England,Leeds,4 Aug 2006,Test # 1813
12,,,128,-,,Pakistan,v England,The Oval,17 Aug 2006,Test # 1814
13,,,192,DNB,,Pakistan,v West Indies,Lahore,11 Nov 2006,Test # 1815
14,,,56,191,,Pakistan,v West Indies,Multan,19 Nov 2006,Test # 1816
15,,,102,124,,Pakistan,v West Indies,Karachi,27 Nov 2006,Test # 1818
16,G Gambhir,5,16,137,,India,v New Zealand,Napier,26 Mar 2009,Test # 1917
17,,,23,167,,India,v New Zealand,Wellington,3 Apr 2009,Test # 1918
18,,,1,114,,India,v Sri Lanka,Ahmedabad,16 Nov 2009,Test # 1933
19,,,167,-,,India,v Sri Lanka,Kanpur,24 Nov 2009,Test # 1935
20,,,23,116,,India,v Bangladesh,Chattogram,17 Jan 2010,Test # 1949
21,DG Bradman,4,123,37*,,Australia,v England,Melbourne,8 Mar 1929,Test # 180
22,,,8,131,,Australia,v England,Nottingham,13 Jun 1930,Test # 194
23,,,254,1,,Australia,v England,Lord's,27 Jun 1930,Test # 195
24,,,334,-,,Australia,v England,Leeds,11 Jul 1930,Test # 196
25,DG Bradman,4,226,-,,Australia,v South Africa,Brisbane,27 Nov 1931,Test # 212
26,,,112,-,,Australia,v South Africa,Sydney,18 Dec 1931,Test # 213
27,,,2,167,,Australia,v South Africa,Melbourne,31 Dec 1931,Test # 214
28,,,299*,DNB,,Australia,v South Africa,Adelaide,29 Jan 1932,Test # 215
29,JHW Fingleton,4,112,-,,Australia,v South Africa,Cape Town,1 Jan 1936,Test # 249
30,,,108,-,,Australia,v South Africa,Johannesburg,15 Feb 1936,Test # 250
31,,,118,-,,Australia,v South Africa,Durban,28 Feb 1936,Test # 251
32,,,100,0,,Australia,v England,Brisbane,4 Dec 1936,Test # 255
33,ED Weekes,4,141,DNB,,West Indies,v England,Kingston,27 Mar 1948,Test # 298
34,,,128,-,,West Indies,v India,Delhi,10 Nov 1948,Test # 304
35,,,194,-,,West Indies,v India,Brabourne,9 Dec 1948,Test # 305
36,,,162,101,,West Indies,v India,Kolkata,31 Dec 1948,Test # 308
37,RN Harvey,4,178,23*,,Australia,v South Africa,Cape Town,31 Dec 1949,Test # 319
38,,,2,151*,,Australia,v South Africa,Durban,20 Jan 1950,Test # 320
39,,,56*,100,,Australia,v South Africa,Johannesburg,10 Feb 1950,Test # 321
40,,,116,-,,Australia,v South Africa,Gqeberha,3 Mar 1950,Test # 322
41,CL Walcott,4,124,51*,,West Indies,v England,Port of Spain,17 Mar 1954,Test # 385
42,,,50,116,,West Indies,v England,Kingston,30 Mar 1954,Test # 386
43,,,108,39,,West Indies,v Australia,Kingston,26 Mar 1955,Test # 403
44,,,126,110,,West Indies,v Australia,Port of Spain,11 Apr 1955,Test # 404
45,KF Barrington,4,139,6,,England,v Pakistan,Lahore,21 Oct 1961,Test # 512
46,,,151*,52*,,England,v India,Brabourne,11 Nov 1961,Test # 513
47,,,21,172,,England,v India,Kanpur,1 Dec 1961,Test # 514
48,,,113*,-,,England,v India,Delhi,13 Dec 1961,Test # 516
49,KF Barrington,4,148,14,,England,v Pakistan,Lord's,27 Jul 1967,Test # 621
50,,,109*,DNB,,England,v Pakistan,Nottingham,10 Aug 1967,Test # 622
51,,,142,13*,,England,v Pakistan,The Oval,24 Aug 1967,Test # 623
52,,,143,-,,England,v West Indies,Port of Spain,19 Jan 1968,Test # 627
53,SM Gavaskar,4,108,42,,India,v England,Wankhede,11 Feb 1977,Test # 795
54,,,3,113,,India,v Australia,Brisbane,2 Dec 1977,Test # 809
55,,,4,127,,India,v Australia,Perth,16 Dec 1977,Test # 811
56,,,0,118,,India,v Australia,Melbourne,30 Dec 1977,Test # 812
57,ML Hayden,4,31,131,,Australia,v South Africa,Adelaide,14 Dec 2001,Test # 1576
58,,,138,3*,,Australia,v South Africa,Melbourne,26 Dec 2001,Test # 1580
59,,,105,21*,,Australia,v South Africa,Sydney,2 Jan 2002,Test # 1582
60,,,122,-,,Australia,v South Africa,Johannesburg,22 Feb 2002,Test # 1590
61,R Dravid,4,13,115,,India,v England,Nottingham,8 Aug 2002,Test # 1612
62,,,148,-,,India,v England,Leeds,22 Aug 2002,Test # 1613
63,,,217,-,,India,v England,The Oval,5 Sep 2002,Test # 1614
64,,,100*,-,,India,v West Indies,Wankhede,9 Oct 2002,Test # 1616
65,ML Hayden,4,138,0*,,Australia,v England,The Oval,8 Sep 2005,Test # 1763
66,,,111,77,,Australia,v ICC World XI,Sydney,14 Oct 2005,Test # 1768
67,,,37,118,,Australia,v West Indies,Brisbane,3 Nov 2005,Test # 1769
68,,,110,46,,Australia,v West Indies,Hobart,17 Nov 2005,Test # 1771
69,JH Kallis,4,155,100*,,South Africa,v Pakistan,Karachi,1 Oct 2007,Test # 1843
70,,,59,107*,,South Africa,v Pakistan,Lahore,8 Oct 2007,Test # 1844
71,,,29,186,,South Africa,v New Zealand,Johannesburg,8 Nov 2007,Test # 1846
72,,,131,-,,South Africa,v New Zealand,Centurion,16 Nov 2007,Test # 1848
73,KC Sangakkara,4,200*,-,,Sri Lanka,v Bangladesh,Colombo (PSS),3 Jul 2007,Test # 1838
74,,,222*,-,,Sri Lanka,v Bangladesh,Kandy,11 Jul 2007,Test # 1839
75,,,57,192,,Sri Lanka,v Australia,Hobart,16 Nov 2007,Test # 1847
76,,,92,152,,Sri Lanka,v England,Kandy,1 Dec 2007,Test # 1851
77,SR Tendulkar,4,105*,16,,India,v Bangladesh,Chattogram,17 Jan 2010,Test # 1949
78,,,143,DNB,,India,v Bangladesh,Mirpur,24 Jan 2010,Test # 1950
79,,,7,100,,India,v South Africa,Nagpur,6 Feb 2010,Test # 1951
80,,,106,-,,India,v South Africa,Kolkata,14 Feb 2010,Test # 1952
81,SPD Smith,4,162*,52*,,Australia,v India,Adelaide,9 Dec 2014,Test # 2148
82,,,133,28,,Australia,v India,Brisbane,17 Dec 2014,Test # 2149
83,,,192,14,,Australia,v India,Melbourne,26 Dec 2014,Test # 2152
84,,,117,71,,Australia,v India,Sydney,6 Jan 2015,Test # 2156
85,JB Hobbs,3,6,126*,,England,v Australia,Melbourne,30 Dec 1911,Test # 117
86,,,187,3,,England,v Australia,Adelaide,12 Jan 1912,Test # 118
87,,,178,-,,England,v Australia,Melbourne,9 Feb 1912,Test # 119
88,JB Hobbs,3,115,57,,England,v Australia,Sydney,19 Dec 1924,Test # 158
89,,,154,22,,England,v Australia,Melbourne,1 Jan 1925,Test # 159
90,,,119,27,,England,v Australia,Adelaide,16 Jan 1925,Test # 160
91,CG Macartney,3,39,133*,,Australia,v England,Lord's,26 Jun 1926,Test # 164
92,,,151,-,,Australia,v England,Leeds,10 Jul 1926,Test # 165
93,,,109,-,,Australia,v England,Manchester,24 Jul 1926,Test # 166
94,WR Hammond,3,251,DNB,,England,v Australia,Sydney,14 Dec 1928,Test # 177
95,,,200,32,,England,v Australia,Melbourne,29 Dec 1928,Test # 178
96,,,119*,177,,England,v Australia,Adelaide,1 Feb 1929,Test # 179
97,H Sutcliffe,3,161,54,,England,v Australia,The Oval,16 Aug 1930,Test # 198
98,,,117,-,,England,v New Zealand,The Oval,29 Jul 1931,Test # 210
99,,,109*,-,,England,v New Zealand,Manchester,15 Aug 1931,Test # 211
100,WR Hammond,3,101,75*,,England,v Australia,Sydney,23 Feb 1933,Test # 224
101,,,227,-,,England,v New Zealand,Christchurch,24 Mar 1933,Test # 225
102,,,336*,-,,England,v New Zealand,Auckland,31 Mar 1933,Test # 226
103,A Melville,3,78,103,,South Africa,v England,Durban,3 Mar 1939,Test # 271
104,,,189,104*,,South Africa,v England,Nottingham,7 Jun 1947,Test # 285
105,,,117,8,,South Africa,v England,Lord's,21 Jun 1947,Test # 286
106,DCS Compton,3,65,163,,England,v South Africa,Nottingham,7 Jun 1947,Test # 285
107,,,208,DNB,,England,v South Africa,Lord's,21 Jun 1947,Test # 286
108,,,115,6,,England,v South Africa,Manchester,5 Jul 1947,Test # 287
109,VS Hazare,3,40,122,,India,v West Indies,Brabourne,4 Feb 1949,Test # 311
110,,,164*,-,,India,v England,Delhi,2 Nov 1951,Test # 339
111,,,155,6,,India,v England,Brabourne,14 Dec 1951,Test # 342
112,RN Harvey,3,190,-,,Australia,v South Africa,Sydney,9 Jan 1953,Test # 362
113,,,84,116,,Australia,v South Africa,Adelaide,24 Jan 1953,Test # 364
114,,,205,7,,Australia,v South Africa,Melbourne,6 Feb 1953,Test # 365
115,ED Weekes,3,123,-,,West Indies,v New Zealand,Dunedin,3 Feb 1956,Test # 421
116,,,103,-,,West Indies,v New Zealand,Christchurch,18 Feb 1956,Test # 422
117,,,156,DNB,,West Indies,v New Zealand,Wellington,3 Mar 1956,Test # 423
118,GS Sobers,3,25,142*,,West Indies,v India,Brabourne,28 Nov 1958,Test # 459
119,,,4,198,,West Indies,v India,Kanpur,12 Dec 1958,Test # 461
120,,,106*,-,,West Indies,v India,Kolkata,31 Dec 1958,Test # 463
121,PR Umrigar,3,117,-,,India,v Pakistan,Chennai,13 Jan 1961,Test # 503
122,,,112,DNB,,India,v Pakistan,Delhi,8 Feb 1961,Test # 505
123,,,147*,-,,India,v England,Kanpur,1 Dec 1961,Test # 514
124,KF Barrington,3,63,132*,,England,v Australia,Adelaide,25 Jan 1963,Test # 538
125,,,101,94,,England,v Australia,Sydney,15 Feb 1963,Test # 539
126,,,126,-,,England,v New Zealand,Auckland,23 Feb 1963,Test # 540
127,WM Lawry,3,135,4,,Australia,v England,The Oval,22 Aug 1968,Test # 641
128,,,105,9,,Australia,v West Indies,Brisbane,6 Dec 1968,Test # 642
129,,,205,-,,Australia,v West Indies,Melbourne,26 Dec 1968,Test # 643
130,KD Walters,3,118,DNB,,Australia,v West Indies,Sydney,3 Jan 1969,Test # 644
131,,,110,50,,Australia,v West Indies,Adelaide,24 Jan 1969,Test # 645
132,,,242,103,,Australia,v West Indies,Sydney,14 Feb 1969,Test # 646
133,GS Sobers,3,4,108*,,West Indies,v India,Georgetown,19 Mar 1971,Test # 684
134,,,178*,9,,West Indies,v India,Bridgetown,1 Apr 1971,Test # 685
135,,,132,0,,West Indies,v India,Port of Spain,13 Apr 1971,Test # 686
136,SM Gavaskar,3,116,64*,,India,v West Indies,Georgetown,19 Mar 1971,Test # 684
137,,,1,117*,,India,v West Indies,Bridgetown,1 Apr 1971,Test # 685
138,,,124,220,,India,v West Indies,Port of Spain,13 Apr 1971,Test # 686
139,G Boycott,3,58,119*,,England,v Australia,Adelaide,29 Jan 1971,Test # 678
140,,,121*,DNB,,England,v Pakistan,Lord's,17 Jun 1971,Test # 688
141,,,112,13,,England,v Pakistan,Leeds,8 Jul 1971,Test # 689
142,MG Burgess,3,59,119*,,New Zealand,v Pakistan,Dhaka,8 Nov 1969,Test # 665
143,,,104,DNB,,New Zealand,v England,Auckland,5 Mar 1971,Test # 682
144,,,15,101,,New Zealand,v West Indies,Kingston,16 Feb 1972,Test # 693
145,IVA Richards,3,142,-,,West Indies,v India,Bridgetown,10 Mar 1976,Test # 773
146,,,130,20,,West Indies,v India,Port of Spain,24 Mar 1976,Test # 774
147,,,177,23,,West Indies,v India,Port of Spain,7 Apr 1976,Test # 775
148,Zaheer Abbas,3,215,DNB,,Pakistan,v India,Lahore,10 Dec 1982,Test # 941
149,,,186,-,,Pakistan,v India,Karachi,23 Dec 1982,Test # 942
150,,,168,DNB,,Pakistan,v India,Faisalabad,3 Jan 1983,Test # 945
151,Mudassar Nazar,3,231,-,,Pakistan,v India,Hyderabad (Sind),14 Jan 1983,Test # 946
152,,,152*,-,,Pakistan,v India,Lahore,23 Jan 1983,Test # 947
153,,,152,-,,Pakistan,v India,Karachi,30 Jan 1983,Test # 948
154,AJ Lamb,3,23,110,,England,v West Indies,Lord's,28 Jun 1984,Test # 990
155,,,100,3,,England,v West Indies,Leeds,12 Jul 1984,Test # 991
156,,,100*,9,,England,v West Indies,Manchester,26 Jul 1984,Test # 992
157,M Azharuddin,3,110,DNB,,India,v England,Kolkata,31 Dec 1984,Test # 1007
158,,,48,105,,India,v England,Chennai,13 Jan 1985,Test # 1008
159,,,122,54*,,India,v England,Kanpur,31 Jan 1985,Test # 1011
160,BC Broad,3,162,16,,England,v Australia,Perth,28 Nov 1986,Test # 1059
161,,,116,15*,,England,v Australia,Adelaide,12 Dec 1986,Test # 1060
162,,,112,-,,England,v Australia,Melbourne,26 Dec 1986,Test # 1062
163,MA Taylor,3,9,164,,Australia,v Sri Lanka,Brisbane,8 Dec 1989,Test # 1131
164,,,23,108,,Australia,v Sri Lanka,Hobart,16 Dec 1989,Test # 1133
165,,,52,101,,Australia,v Pakistan,Melbourne,12 Jan 1990,Test # 1134
166,GA Gooch,3,154,30,,England,v New Zealand,Birmingham,5 Jul 1990,Test # 1147
167,,,333,123,,England,v India,Lord's,26 Jul 1990,Test # 1148
168,,,116,7,,England,v India,Manchester,9 Aug 1990,Test # 1149
169,M Azharuddin,3,192,DNB,,India,v New Zealand,Auckland,22 Feb 1990,Test # 1139
170,,,121,37,,India,v England,Lord's,26 Jul 1990,Test # 1148
171,,,179,11,,India,v England,Manchester,9 Aug 1990,Test # 1149
172,Shoaib Mohammad,3,203*,-,,Pakistan,v New Zealand,Karachi,10 Oct 1990,Test # 1151
173,,,105,42*,,Pakistan,v New Zealand,Lahore,18 Oct 1990,Test # 1152
174,,,15,142,,Pakistan,v New Zealand,Faisalabad,26 Oct 1990,Test # 1153
175,DL Haynes,3,0,109,,West Indies,v England,Bridgetown,5 Apr 1990,Test # 1143
176,,,167,-,,West Indies,v England,St John's,12 Apr 1990,Test # 1144
177,,,117,47,,West Indies,v Pakistan,Karachi,15 Nov 1990,Test # 1154
178,DC Boon,3,129*,7,,Australia,v India,Sydney,2 Jan 1992,Test # 1181
179,,,19,135,,Australia,v India,Adelaide,25 Jan 1992,Test # 1184
180,,,107,38,,Australia,v India,Perth,1 Feb 1992,Test # 1186
181,DC Boon,3,164*,-,,Australia,v England,Lord's,17 Jun 1993,Test # 1224
182,,,101,18,,Australia,v England,Nottingham,1 Jul 1993,Test # 1225
183,,,107,-,,Australia,v England,Leeds,22 Jul 1993,Test # 1227
184,BC Lara,3,87,145,,West Indies,v England,Manchester,27 Jul 1995,Test # 1301
185,,,152,20,,West Indies,v England,Nottingham,10 Aug 1995,Test # 1302
186,,,179,-,,West Indies,v England,The Oval,24 Aug 1995,Test # 1303
187,PA de Silva,3,126,-,,Sri Lanka,v India,Colombo (RPS),2 Aug 1997,Test # 1374
188,,,146,120,,Sri Lanka,v India,Colombo (SSC),9 Aug 1997,Test # 1376
189,,,33,110*,,Sri Lanka,v India,Mohali,19 Nov 1997,Test # 1385
190,BC Lara,3,213,DNB,,West Indies,v Australia,Kingston,13 Mar 1999,Test # 1451
191,,,8,153*,,West Indies,v Australia,Bridgetown,26 Mar 1999,Test # 1453
192,,,100,7,,West Indies,v Australia,St John's,3 Apr 1999,Test # 1454
193,DPMD Jayawardene,3,104,25,,Sri Lanka,v India,Kandy,22 Aug 2001,Test # 1557
194,,,139,-,,Sri Lanka,v India,Colombo (SSC),29 Aug 2001,Test # 1559
195,,,150,-,,Sri Lanka,v Bangladesh,Colombo (SSC),6 Sep 2001,Test # 1561
196,JL Langer,3,102*,-,,Australia,v England,The Oval,23 Aug 2001,Test # 1558
197,,,104,18*,,Australia,v New Zealand,Brisbane,8 Nov 2001,Test # 1565
198,,,123,-,,Australia,v New Zealand,Hobart,22 Nov 2001,Test # 1571
199,RT Ponting,3,150,-,,Australia,v Pakistan,Sharjah,19 Oct 2002,Test # 1620
200,,,123,3,,Australia,v England,Brisbane,7 Nov 2002,Test # 1623
201,,,154,-,,Australia,v England,Adelaide,21 Nov 2002,Test # 1628
202,RT Ponting,3,117,42*,,Australia,v West Indies,Georgetown,10 Apr 2003,Test # 1638
203,,,206,45,,Australia,v West Indies,Port of Spain,19 Apr 2003,Test # 1639
204,,,113,DNB,,Australia,v West Indies,Bridgetown,1 May 2003,Test # 1643
205,HH Gibbs,3,142,-,,South Africa,v West Indies,Durban,26 Dec 2003,Test # 1679
206,,,33,142,,South Africa,v West Indies,Cape Town,2 Jan 2004,Test # 1681
207,,,192,8*,,South Africa,v West Indies,Centurion,16 Jan 2004,Test # 1682
208,MS Atapattu,3,118,14,,Sri Lanka,v Australia,Colombo (SSC),24 Mar 2004,Test # 1691
209,,,170,-,,Sri Lanka,v Zimbabwe,Harare,6 May 2004,Test # 1698
210,,,249,-,,Sri Lanka,v Zimbabwe,Bulawayo,14 May 2004,Test # 1699
211,AC Gilchrist,3,113,DNB,,Australia,v Pakistan,Sydney,2 Jan 2005,Test # 1731
212,,,121,DNB,,Australia,v New Zealand,Christchurch,10 Mar 2005,Test # 1739
213,,,162,-,,Australia,v New Zealand,Wellington,18 Mar 2005,Test # 1742
214,GC Smith,3,148,41,,South Africa,v West Indies,Port of Spain,8 Apr 2005,Test # 1747
215,,,104,-,,South Africa,v West Indies,Bridgetown,21 Apr 2005,Test # 1749
216,,,126,50*,,South Africa,v West Indies,St John's,29 Apr 2005,Test # 1750
217,Mohammad Yousuf,3,223,-,,Pakistan,v England,Lahore,29 Nov 2005,Test # 1774
218,,,173,-,,Pakistan,v India,Lahore,13 Jan 2006,Test # 1781
219,,,65,126,,Pakistan,v India,Faisalabad,21 Jan 2006,Test # 1782
220,IR Bell,3,100*,28,,England,v Pakistan,Lord's,13 Jul 2006,Test # 1809
221,,,106*,-,,England,v Pakistan,Manchester,27 Jul 2006,Test # 1811
222,,,119,4,,England,v Pakistan,Leeds,4 Aug 2006,Test # 1813
223,S Chanderpaul,3,50,116*,,West Indies,v England,Manchester,7 Jun 2007,Test # 1835
224,,,136*,70,,West Indies,v England,Chester-le-Street,15 Jun 2007,Test # 1836
225,,,104,8,,West Indies,v South Africa,Gqeberha,26 Dec 2007,Test # 1856
226,ML Hayden,3,124,47,,Australia,v India,Melbourne,26 Dec 2007,Test # 1855
227,,,13,123,,Australia,v India,Sydney,2 Jan 2008,Test # 1857
228,,,103,-,,Australia,v India,Adelaide,24 Jan 2008,Test # 1863
229,DPMD Jayawardene,3,195,-,,Sri Lanka,v England,Colombo (SSC),9 Dec 2007,Test # 1853
230,,,213*,-,,Sri Lanka,v England,Galle,18 Dec 2007,Test # 1854
231,,,136,33,,Sri Lanka,v West Indies,Providence,22 Mar 2008,Test # 1869
232,AJ Strauss,3,169,14,,England,v West Indies,St John's,15 Feb 2009,Test # 1908
233,,,142,38,,England,v West Indies,Bridgetown,26 Feb 2009,Test # 1911
234,,,142,14,,England,v West Indies,Port of Spain,6 Mar 2009,Test # 1914
235,RS Bopara,3,104,DNB,,England,v West Indies,Bridgetown,26 Feb 2009,Test # 1911
236,,,143,DNB,,England,v West Indies,Lord's,6 May 2009,Test # 1919
237,,,108,-,,England,v West Indies,Chester-le-Street,14 May 2009,Test # 1920
238,V Sehwag,3,109,16,,India,v South Africa,Nagpur,6 Feb 2010,Test # 1951
239,,,165,-,,India,v South Africa,Kolkata,14 Feb 2010,Test # 1952
240,,,109,31,,India,v Sri Lanka,Galle,18 Jul 2010,Test # 1964
241,KC Sangakkara,3,18,137,,Sri Lanka,v India,Brabourne,2 Dec 2009,Test # 1937
242,,,103,DNB,,Sri Lanka,v India,Galle,18 Jul 2010,Test # 1964
243,,,219,42*,,Sri Lanka,v India,Colombo (SSC),26 Jul 2010,Test # 1966
244,JH Kallis,3,73,135*,,South Africa,v Pakistan,Dubai (DSC),12 Nov 2010,Test # 1976
245,,,105,10,,South Africa,v Pakistan,Abu Dhabi,20 Nov 2010,Test # 1979
246,,,201*,-,,South Africa,v India,Centurion,16 Dec 2010,Test # 1985
247,AN Cook,3,189,-,,England,v Australia,Sydney,3 Jan 2011,Test # 1989
248,,,133,-,,England,v Sri Lanka,Cardiff,26 May 2011,Test # 1994
249,,,96,106,,England,v Sri Lanka,Lord's,3 Jun 2011,Test # 1995
250,AN Cook,3,41,176,,England,v India,Ahmedabad,15 Nov 2012,Test # 2058
251,,,122,18*,,England,v India,Wankhede,23 Nov 2012,Test # 2062
252,,,190,1,,England,v India,Kolkata,5 Dec 2012,Test # 2065
253,LRPL Taylor,3,217*,16*,,New Zealand,v West Indies,Dunedin,3 Dec 2013,Test # 2104
254,,,129,-,,New Zealand,v West Indies,Wellington,11 Dec 2013,Test # 2106
255,,,131,2*,,New Zealand,v West Indies,Hamilton,19 Dec 2013,Test # 2109
256,Younis Khan,3,106,103*,,Pakistan,v Australia,Dubai (DSC),22 Oct 2014,Test # 2140
257,,,213,46,,Pakistan,v Australia,Abu Dhabi,30 Oct 2014,Test # 2142
258,,,100*,28,,Pakistan,v New Zealand,Abu Dhabi,9 Nov 2014,Test # 2144
259,Mohammad Hafeez,3,96,101*,,Pakistan,v New Zealand,Abu Dhabi,9 Nov 2014,Test # 2144
260,,,197,24,,Pakistan,v New Zealand,Sharjah,26 Nov 2014,Test # 2147
261,,,224,-,,Pakistan,v Bangladesh,Khulna,28 Apr 2015,Test # 2159
262,Tamim Iqbal,3,109,20,,Bangladesh,v Zimbabwe,Khulna,3 Nov 2014,Test # 2143
263,,,109,65,,Bangladesh,v Zimbabwe,Chattogram,12 Nov 2014,Test # 2145
264,,,25,206,,Bangladesh,v Pakistan,Khulna,28 Apr 2015,Test # 2159
265,UT Khawaja,3,174,9*,,Australia,v New Zealand,Brisbane,5 Nov 2015,Test # 2185
266,,,121,DNB,,Australia,v New Zealand,Perth,13 Nov 2015,Test # 2187
267,,,144,56,,Australia,v West Indies,Melbourne,26 Dec 2015,Test # 2195
268,CA Pujara,3,41,101*,,India,v New Zealand,Indore,8 Oct 2016,Test # 2223
269,,,124,18,,India,v England,Rajkot,9 Nov 2016,Test # 2232
270,,,119,1,,India,v England,Visakhapatnam,17 Nov 2016,Test # 2235
271,V Kohli,3,0,104*,,India,v Sri Lanka,Kolkata,16 Nov 2017,Test # 2281
272,,,213,-,,India,v Sri Lanka,Nagpur,24 Nov 2017,Test # 2283
273,,,243,50,,India,v Sri Lanka,Delhi,2 Dec 2017,Test # 2286
274,TWM Latham,3,264*,-,,New Zealand,v Sri Lanka,Wellington,15 Dec 2018,Test # 2335
275,,,10,176,,New Zealand,v Sri Lanka,Christchurch,26 Dec 2018,Test # 2336
276,,,161,-,,New Zealand,v Bangladesh,Hamilton,28 Feb 2019,Test # 2349
277,M Labuschagne,3,185,-,,Australia,v Pakistan,Brisbane,21 Nov 2019,Test # 2368
278,,,162,-,,Australia,v Pakistan,Adelaide,29 Nov 2019,Test # 2372
279,,,143,50,,Australia,v New Zealand,Perth,12 Dec 2019,Test # 2374
280,Babar Azam,3,102*,-,,Pakistan,v Sri Lanka,Rawalpindi,11 Dec 2019,Test # 2373
281,,,60,100*,,Pakistan,v Sri Lanka,Karachi,19 Dec 2019,Test # 2375
282,,,143,-,,Pakistan,v Bangladesh,Rawalpindi,7 Feb 2020,Test # 2384
283,Shan Masood,3,5,135,,Pakistan,v Sri Lanka,Karachi,19 Dec 2019,Test # 2375
284,,,100,-,,Pakistan,v Bangladesh,Rawalpindi,7 Feb 2020,Test # 2384
285,,,156,0,,Pakistan,v England,Manchester,5 Aug 2020,Test # 2391
286,KS Williamson,3,251,-,,New Zealand,v West Indies,Hamilton,3 Dec 2020,Test # 2394
287,,,129,21,,New Zealand,v Pakistan,Mount Maunganui,26 Dec 2020,Test # 2397
288,,,238,-,,New Zealand,v Pakistan,Christchurch,3 Jan 2021,Test # 2400
289,JE Root,3,228,1,,England,v Sri Lanka,Galle,14 Jan 2021,Test # 2403
290,,,186,11,,England,v Sri Lanka,Galle,22 Jan 2021,Test # 2405
291,,,218,40,,England,v India,Chennai,5 Feb 2021,Test # 2409
292,SC Williams,3,107,53*,,Zimbabwe,v Sri Lanka,Harare,27 Jan 2020,Test # 2383
293,,,105,DNB,,Zimbabwe,v Afghanistan,Abu Dhabi,2 Mar 2021,Test # 2413
294,,,8,151*,,Zimbabwe,v Afghanistan,Abu Dhabi,10 Mar 2021,Test # 2415
295,JE Root,3,64,109,,England,v India,Nottingham,4 Aug 2021,Test # 2428
296,,,180*,33,,England,v India,Lord's,12 Aug 2021,Test # 2429
297,,,121,-,,England,v India,Leeds,25 Aug 2021,Test # 2432
298,FDM Karunaratne,3,244,-,,Sri Lanka,v Bangladesh,Pallekele,21 Apr 2021,Test # 2418
299,,,118,66,,Sri Lanka,v Bangladesh,Pallekele,29 Apr 2021,Test # 2419
300,,,147,83,,Sri Lanka,v West Indies,Galle,21 Nov 2021,Test # 2434
301,DJ Mitchell,3,13,108,,New Zealand,v England,Lord's,2 Jun 2022,Test # 2464
302,,,190,62*,,New Zealand,v England,Nottingham,10 Jun 2022,Test # 2465
303,,,109,56,,New Zealand,v England,Leeds,23 Jun 2022,Test # 2467
304,JM Bairstow,3,8,136,,England,v New Zealand,Nottingham,10 Jun 2022,Test # 2465
305,,,162,71*,,England,v New Zealand,Leeds,23 Jun 2022,Test # 2467
306,,,106,114*,,England,v India,Birmingham,1 Jul 2022,Test # 2470
