,Player,Runs,Start,Finish,,Team,Opposition,Ground,Match Date,Scorecard
0,DG Bradman,309,0,309*,,Australia,v England,Leeds,11 Jul 1930,Test # 196
1,WR Hammond,295,41*,336,,England,v New Zealand,Auckland,31 Mar 1933,Test # 226
2,V Sehwag,284,0,284*,,India,v Sri Lanka,Brabourne,2 Dec 2009,Test # 1937
3,DCS Compton,273,5*,278,,England,v Pakistan,Nottingham,1 Jul 1954,Test # 388
4,DG Bradman,271,0,271*,,Australia,v England,Leeds,20 Jul 1934,Test # 236
5,V Sehwag,257,52*,309*,,India,v South Africa,Chennai,26 Mar 2008,Test # 1870
6,DG Bradman,244,0,244,,Australia,v England,The Oval,18 Aug 1934,Test # 237
7,DA Warner,244,0,244*,,Australia,v New Zealand,Perth,13 Nov 2015,Test # 2187
8,FMM Worrell,239,0,239*,,West Indies,v England,Nottingham,20 Jul 1950,Test # 325
9,KK Nair,232,71*,303,,India,v England,Chennai,16 Dec 2016,Test # 2241
10,HH Gibbs,228,0,228,,South Africa,v Pakistan,Cape Town,2 Jan 2003,Test # 1637
11,V Sehwag,228,0,228*,,India,v Pakistan,Multan,28 Mar 2004,Test # 1693
12,BC Lara,227,86*,313*,,West Indies,v England,St John's,10 Apr 2004,Test # 1696
13,MJ Clarke,224,0,224*,,Australia,v South Africa,Adelaide,22 Nov 2012,Test # 2061
14,DG Bradman,223,0,223*,,Australia,v West Indies,Brisbane,16 Jan 1931,Test # 203
15,WR Hammond,223,0,223*,,England,v New Zealand,Christchurch,24 Mar 1933,Test # 225
16,GC Smith,223,0,223*,,South Africa,v Bangladesh,Chattogram,29 Feb 2008,Test # 1865
17,MA Taylor,222,112*,334*,,Australia,v Pakistan,Peshawar,15 Oct 1998,Test # 1426
18,NJ Astle,222,0,222,,New Zealand,v England,Christchurch,13 Mar 2002,Test # 1594
19,KC Sangakkara,222,0,222*,,Sri Lanka,v Bangladesh,Kandy,11 Jul 2007,Test # 1839
20,CH Gayle,219,0,219*,,West Indies,v Sri Lanka,Galle,15 Nov 2010,Test # 1977
21,WR Hammond,217,0,217,,England,v India,The Oval,15 Aug 1936,Test # 254
22,RE Foster,214,73*,287,,England,v Australia,Sydney,11 Dec 1903,Test # 78
23,CG Greenidge,214,0,214,,West Indies,v England,Lord's,28 Jun 1984,Test # 990
24,SJ McCabe,213,19*,232,,Australia,v England,Nottingham,10 Jun 1938,Test # 263
25,Shakib Al Hasan,212,5*,217,,Bangladesh,v New Zealand,Wellington,12 Jan 2017,Test # 2246
26,WR Hammond,210,0,210*,,England,v Australia,Lord's,24 Jun 1938,Test # 264
27,CA Roach,209,0,209,,West Indies,v England,Georgetown,21 Feb 1930,Test # 192
28,LRPL Taylor,209,26*,235*,,New Zealand,v Australia,Perth,13 Nov 2015,Test # 2187
29,VT Trumper,208,0,208*,,Australia,v South Africa,Adelaide,7 Jan 1911,Test # 113
30,GS Sobers,208,20*,228*,,West Indies,v Pakistan,Kingston,26 Feb 1958,Test # 450
31,L Hutton,206,0,206,,England,v New Zealand,The Oval,13 Aug 1949,Test # 317
32,PA de Silva,206,0,206,,Sri Lanka,v Bangladesh,Colombo (PSS),21 Jul 2002,Test # 1609
33,MS Dhoni,206,0,206*,,India,v Australia,Chennai,22 Feb 2013,Test # 2074
34,MA Agarwal,206,37*,243,,India,v Bangladesh,Indore,14 Nov 2019,Test # 2366
35,WH Ponsford,205,0,205*,,Australia,v England,The Oval,18 Aug 1934,Test # 237
36,Aamer Sohail,205,0,205,,Pakistan,v England,Manchester,2 Jul 1992,Test # 1191
37,BC Lara,205,7*,212*,,West Indies,v Australia,Kingston,13 Mar 1999,Test # 1451
38,MJ Clarke,204,47*,251*,,Australia,v India,Sydney,3 Jan 2012,Test # 2027
39,HL Collins,203,0,203,,Australia,v South Africa,Johannesburg,12 Nov 1921,Test # 146
40,RB Kanhai,203,0,203*,,West Indies,v India,Kolkata,31 Dec 1958,Test # 463
41,PA de Silva,203,0,203*,,Sri Lanka,v New Zealand,Wellington,31 Jan 1991,Test # 1162
42,G Kirsten,202,0,202*,,South Africa,v Zimbabwe,Harare,7 Sep 2001,Test # 1562
43,BC Lara,202,0,202*,,West Indies,v Australia,Adelaide,25 Nov 2005,Test # 1773
44,DG Bradman,201,0,201,,Australia,v India,Adelaide,23 Jan 1948,Test # 294
45,DG Bradman,200,0,200*,,Australia,v South Africa,Brisbane,27 Nov 1931,Test # 212
46,IVA Richards,200,0,200*,,West Indies,v England,The Oval,12 Aug 1976,Test # 781
47,GP Thorpe,200,0,200,,England,v New Zealand,Christchurch,13 Mar 2002,Test # 1594
48,GC Smith,200,0,200,,South Africa,v Bangladesh,East London,18 Oct 2002,Test # 1619
49,JB Hobbs,199,12*,211,,England,v South Africa,Lord's,28 Jun 1924,Test # 154
50,E Paynter,197,0,197*,,England,v South Africa,Durban,20 Jan 1939,Test # 269
51,MP Vaughan,197,0,197,,England,v India,Nottingham,8 Aug 2002,Test # 1612
52,ML Hayden,197,183*,380,,Australia,v Zimbabwe,Perth,9 Oct 2003,Test # 1661
53,DS Atkinson,196,19*,215*,,West Indies,v Australia,Bridgetown,14 May 1955,Test # 406
54,IM Chappell,196,0,196,,Australia,v Pakistan,Adelaide,22 Dec 1972,Test # 704
55,BC Lara,196,0,196*,,West Indies,v Pakistan,Multan,19 Nov 2006,Test # 1816
56,C Washbrook,195,0,195,,England,v South Africa,Johannesburg,27 Dec 1948,Test # 307
57,Mushtaq Mohammad,195,6*,201,,Pakistan,v New Zealand,Dunedin,7 Feb 1973,Test # 712
58,V Sehwag,195,0,195,,India,v Australia,Melbourne,26 Dec 2003,Test # 1678
59,MS Atapattu,195,7*,202*,,Sri Lanka,v Zimbabwe,Bulawayo,14 May 2004,Test # 1699
60,BB McCullum,195,0,195,,New Zealand,v Sri Lanka,Christchurch,26 Dec 2014,Test # 2151
61,JO Holder,195,7*,202,,West Indies,v England,Bridgetown,23 Jan 2019,Test # 2342
62,JH Edrich,194,0,194*,,England,v New Zealand,Leeds,8 Jul 1965,Test # 593
63,GA Gooch,194,0,194*,,England,v India,Lord's,26 Jul 1990,Test # 1148
64,DG Bradman,192,56*,248*,,Australia,v England,Melbourne,1 Jan 1937,Test # 257
65,L Hutton,192,4*,196,,England,v West Indies,Lord's,24 Jun 1939,Test # 272
66,W Jaffer,192,0,192*,,India,v Pakistan,Kolkata,30 Nov 2007,Test # 1850
67,C Hill,191,0,191,,Australia,v South Africa,Sydney,9 Dec 1910,Test # 111
68,KC Sangakkara,191,39*,230,,Sri Lanka,v Pakistan,Lahore,6 Mar 2002,Test # 1592
69,V Kohli,191,63*,254,,India,v South Africa,Pune,10 Oct 2019,Test # 2364
70,Zaheer Abbas,190,25*,215,,Pakistan,v India,Lahore,10 Dec 1982,Test # 941
71,S Dhawan,190,0,190,,India,v Sri Lanka,Galle,26 Jul 2017,Test # 2265
72,MJ Slater,189,0,189*,,Australia,v Sri Lanka,Perth,8 Dec 1995,Test # 1317
73,GA Faulkner,188,0,188*,,South Africa,v Australia,Melbourne,31 Dec 1910,Test # 112
74,B Mitchell,188,1*,189,,South Africa,v England,The Oval,16 Aug 1947,Test # 289
75,TW Graveney,188,0,188*,,England,v West Indies,Nottingham,4 Jul 1957,Test # 441
76,WW Hinds,188,0,188*,,West Indies,v South Africa,Georgetown,31 Mar 2005,Test # 1745
77,JB Hobbs,187,0,187,,England,v South Africa,Cape Town,11 Mar 1910,Test # 110
78,DL Amiss,187,0,187*,,England,v India,Lord's,20 Jun 1974,Test # 740
79,ML Hayden,186,0,186*,,Australia,v England,Brisbane,7 Nov 2002,Test # 1623
80,KC Sangakkara,186,0,186*,,Sri Lanka,v Zimbabwe,Bulawayo,14 May 2004,Test # 1699
81,TWM Latham,186,0,186*,,New Zealand,v Bangladesh,Christchurch,9 Jan 2022,Test # 2447
82,RW Barber,185,0,185,,England,v Australia,Sydney,7 Jan 1966,Test # 599
83,S Dhawan,185,0,185*,,India,v Australia,Mohali,14 Mar 2013,Test # 2081
84,Inzamam-ul-Haq,184,0,184*,,Pakistan,v India,Bengaluru,24 Mar 2005,Test # 1743
85,CH Gayle,184,0,184*,,West Indies,v South Africa,St John's,29 Apr 2005,Test # 1750
86,MJ Clarke,184,34*,218*,,Australia,v South Africa,Brisbane,9 Nov 2012,Test # 2056
87,BA Stokes,184,74*,258,,England,v South Africa,Cape Town,2 Jan 2016,Test # 2197
88,JE Root,184,0,184*,,England,v South Africa,Lord's,6 Jul 2017,Test # 2262
89,A Melville,183,0,183*,,South Africa,v England,Nottingham,7 Jun 1947,Test # 285
90,HH Gibbs,183,0,183,,South Africa,v England,The Oval,4 Sep 2003,Test # 1659
91,ML Hayden,183,0,183*,,Australia,v Zimbabwe,Perth,9 Oct 2003,Test # 1661
92,C Hill,182,0,182*,,Australia,v England,Melbourne,29 Jan 1898,Test # 56
93,DG Bradman,182,52*,234,,Australia,v England,Sydney,13 Dec 1946,Test # 280
94,AR Morris,182,0,182,,Australia,v England,Leeds,22 Jul 1948,Test # 302
95,MC Cowdrey,182,0,182,,England,v Pakistan,The Oval,16 Aug 1962,Test # 534
96,MP Vaughan,182,0,182*,,England,v India,The Oval,5 Sep 2002,Test # 1614
97,RG Pollock,181,28*,209,,South Africa,v Australia,Cape Town,31 Dec 1966,Test # 613
98,CH Gayle,181,23*,204,,West Indies,v New Zealand,St George's,28 Jun 2002,Test # 1608
99,JL Langer,181,0,181*,,Australia,v Pakistan,Perth,16 Dec 2004,Test # 1726
100,IR Bell,181,0,181*,,England,v India,The Oval,18 Aug 2011,Test # 2004
101,MR Marsh,181,0,181*,,Australia,v England,Perth,14 Dec 2017,Test # 2288
102,LRPL Taylor,181,19*,200,,New Zealand,v Bangladesh,Wellington,8 Mar 2019,Test # 2350
103,V Sehwag,180,0,180,,India,v West Indies,Gros Islet,10 Jun 2006,Test # 1806
104,KP Pietersen,180,22*,202,,England,v India,Lord's,21 Jul 2011,Test # 2000
