,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,DPMD Jayawardene (SL),1997-2014,27,42,3,2921,374,74.89,5389,54.20,11,9,2,332,16
1,DPMD Jayawardene (SL),1998-2014,23,37,3,2382,237,70.05,4450,53.52,7,12,1,283,14
2,KC Sangakkara (SL),2000-2014,22,34,3,2312,287,74.58,3992,57.91,8,7,3,283,6
3,JH Kallis (SA),1996-2013,22,35,5,2181,224,72.70,4442,49.09,9,9,1,228,19
4,GA Gooch (ENG),1975-1994,21,39,1,2015,333,53.02,3665,54.97,6,5,2,247,10
5,AN Cook (ENG),2006-2018,26,47,2,1937,162,43.04,4045,47.88,4,12,0,248,1
6,KC Sangakkara (SL),2000-2015,23,39,2,1921,221,51.91,3639,52.78,7,8,1,218,10
7,RT Ponting (AUS),1996-2012,17,31,2,1743,242,60.10,3136,55.58,6,6,2,181,1
8,AD Mathews (SL),2009-2022,26,46,7,1736,110,44.51,3356,51.72,1,13,2,176,25
9,DG Bradman (AUS),1928-1948,11,17,4,1671,270,128.53,2298+,58.74*,9,3,1,133,0
10,BC Lara (WI),1993-2006,14,22,1,1650,400*,78.57,2493,66.18,4,6,2,199,21
11,JE Root (ENG),2013-2022,18,34,3,1624,200*,52.38,2878,56.42,5,5,1,183,3
12,AJ Strauss (ENG),2004-2012,18,31,1,1562,161,52.06,2980,52.41,5,6,1,199,1
13,ST Jayasuriya (SL),1993-2006,22,37,3,1542,199,45.35,2218,69.52,2,10,1,194,15
14,A Flower (ZIM),1992-2002,20,35,5,1535,199*,51.16,3452,44.46,4,6,1,160,6
15,L Hutton (ENG),1937-1954,12,19,2,1521,364,89.47,847+,42.97*,4,5,0,86+,0
16,FDM Karunaratne (SL),2012-2022,17,32,2,1509,186,50.30,2818,53.54,4,7,3,141,4
17,Mushfiqur Rahim (BAN),2008-2022,22,39,6,1500,219*,45.45,3149,47.63,3,7,2,177,6
18,RT Ponting (AUS),1996-2012,16,27,5,1480,207,67.27,2356,62.81,6,6,2,179,6
19,S Chanderpaul (WI),1994-2015,19,34,8,1477,153*,56.80,3451,42.79,4,9,3,148,6
20,AJ Stewart (ENG),1990-2003,20,37,4,1476,124*,44.72,3133,47.11,3,8,2,203,0
21,Shakib Al Hasan (BAN),2007-2022,19,35,2,1467,144,44.45,2523,58.14,1,11,1,175,6
22,AR Border (AUS),1979-1994,16,29,5,1415,205,58.95,3456,40.94,4,9,1,122,2
23,MJ Clarke (AUS),2004-2014,10,17,2,1414,230,94.26,2259,62.59,7,3,0,165,3
24,Mushfiqur Rahim (BAN),2008-2022,19,34,1,1406,105,42.60,3091,45.48,2,8,1,165,8
25,Javed Miandad (PAK),1976-1990,17,25,1,1393,211,58.04,1829+,47.94*,3,8,0,132+,12
26,LD Chandimal (SL),2012-2022,17,31,6,1379,206*,55.16,2364,58.33,4,6,1,138,21
27,GC Smith (SA),2002-2014,17,30,2,1363,183,48.67,2049,66.52,4,6,0,172,3
28,HM Amla (SA),2007-2018,13,20,2,1356,208,75.33,2591,52.33,5,8,0,182,2
29,GS Sobers (WI),1954-1974,11,18,5,1354,365*,104.15,139+,41.00*,5,4,1,89+,9
30,AB de Villiers (SA),2005-2018,19,30,2,1344,163,48.00,2317,58.00,3,7,0,164,14
31,BC Lara (WI),1992-2005,15,27,2,1339,176,53.56,2428,55.14,3,7,0,179,9
32,RT Ponting (AUS),1995-2011,15,28,5,1338,257,58.17,2227,60.08,4,7,0,136,4
33,RT Ponting (AUS),1996-2012,17,26,5,1335,196,63.57,2105,63.42,4,10,2,141,9
34,HM Amla (SA),2005-2019,19,33,2,1332,201,42.96,2707,49.20,3,6,1,181,1
35,SR Waugh (AUS),1985-2003,17,30,6,1284,131*,53.50,2543,50.49,3,6,0,120,0
36,LRPL Taylor (NZ),2008-2020,15,23,2,1279,200,60.90,2022,63.25,3,8,2,151,13
37,AR Border (AUS),1978-1993,20,36,3,1272,163,38.54,3377,37.66,4,5,3,113,2
38,JH Kallis (SA),1997-2011,16,23,5,1267,201*,70.38,2432,52.09,5,5,0,138,14
39,JH Kallis (SA),1995-2013,16,27,2,1266,177,50.64,2782,45.50,5,5,3,162,2
40,IR Bell (ENG),2005-2015,18,32,5,1264,199,46.81,2366,53.42,4,8,1,142,3
41,Tamim Iqbal (BAN),2008-2022,19,35,0,1260,151,36.00,2045,61.61,2,9,5,165,11
42,AB de Villiers (SA),2005-2018,14,21,0,1257,152,59.85,1988,63.22,4,6,3,150,12
43,PA de Silva (SL),1985-2001,16,28,4,1257,146,52.37,2271+,52.97*,5,2,0,151+,8
44,GS Chappell (AUS),1971-1983,17,31,4,1257,121,46.55,2521,49.86,4,9,4,107,2
45,DI Gower (ENG),1978-1990,17,30,2,1241,108,44.32,2481,50.02,2,8,1,159,4
46,TT Samaraweera (SL),2001-2012,15,21,5,1239,143,77.43,2557,48.45,5,7,1,141,2
47,KS Williamson (NZ),2011-2020,10,17,3,1238,251,88.42,2234,55.41,5,5,1,143,6
48,KP Pietersen (ENG),2005-2013,15,25,3,1235,202*,56.13,1847,66.86,5,3,2,147,9
49,GW Flower (ZIM),1992-2004,21,37,1,1218,201*,33.83,3728,32.67,3,5,3,102,8
50,VVS Laxman (INDIA),1996-2011,10,15,4,1217,281,110.63,2192,55.52,5,3,1,158,1
51,AN Cook (ENG),2006-2018,13,24,0,1217,147,50.70,2590,46.98,3,7,1,154,1
52,RB Kanhai (WI),1958-1974,16,31,3,1212,153,43.28,112+,50.00*,4,4,1,49+,7
53,DL Haynes (WI),1978-1994,13,25,5,1210,145,60.50,1605+,52.39*,4,6,1,137+,8
54,Mominul Haque (BAN),2013-2022,12,22,3,1205,181,63.42,1951,61.76,7,1,2,121,4
55,G Boycott (ENG),1965-1981,16,29,3,1189,128*,45.73,2694+,38.60*,3,6,1,109+,4
56,JB Hobbs (ENG),1908-1929,10,18,1,1178,178,69.29,2015+,50.12*,5,4,1,89+,0
57,AR Border (AUS),1979-1994,17,29,8,1177,89,56.04,3062,38.43,0,11,0,110,1
58,BRM Taylor (ZIM),2004-2021,13,26,2,1165,171,48.54,1982,58.77,3,7,1,119,10
59,DA Warner (AUS),2012-2021,9,17,2,1153,335*,76.86,1621,71.12,4,2,0,137,7
60,GS Chappell (AUS),1971-1984,12,22,4,1150,204,63.88,2182,52.70,4,3,2,125,0
61,JH Kallis (SA),1997-2013,18,31,2,1148,186,39.58,2501,45.90,2,6,2,151,8
62,HM Amla (SA),2006-2019,13,24,2,1144,176*,52.00,2423,47.21,3,7,1,152,1
63,KS Williamson (NZ),2011-2020,13,21,4,1137,242*,66.88,2000,56.85,3,6,0,133,2
64,DC Boon (AUS),1984-1995,11,21,3,1127,184*,62.61,2894,38.94,4,4,1,111,0
65,KC Sangakkara (SL),2000-2007,12,22,3,1126,222*,59.26,1897,59.35,3,3,0,158,0
66,Mohammad Yousuf (PAK),1998-2007,11,14,2,1125,223,93.75,2014,55.85,5,3,1,135,8
67,MD Crowe (NZ),1982-1993,10,17,1,1123,299,70.18,2558,43.90,5,1,1,133,4
68,SM Gavaskar (INDIA),1975-1986,11,20,0,1122,205,56.10,1748+,51.20*,5,3,0,132+,3
69,Javed Miandad (PAK),1976-1993,17,23,3,1122,163,56.10,2039+,42.42*,3,3,0,103+,8
70,BC Lara (WI),1994-2006,12,20,1,1112,213,58.52,1706,65.18,3,6,3,141,11
71,Azhar Ali (PAK),2010-2018,11,20,2,1110,302*,61.66,2694,41.20,3,6,0,93,6
72,HP Tillakaratne (SL),1992-2004,16,24,9,1106,204*,73.73,2409,45.91,3,4,1,131,0
73,LRPL Taylor (NZ),2008-2020,13,24,4,1104,138,55.20,1924,57.38,6,2,1,144,8
74,ML Hayden (AUS),1996-2008,10,19,3,1103,153,68.93,1783,61.86,6,3,1,122,8
75,GA Gooch (ENG),1978-1994,12,22,1,1097,196,52.23,2302,47.65,1,9,3,132,2
76,Zaheer Abbas (PAK),1975-1984,10,15,4,1093,235*,99.36,1203+,61.76*,4,2,0,67+,8
77,Azhar Ali (PAK),2010-2018,11,22,3,1086,134,57.15,2626,41.35,3,8,2,79,0
78,SR Waugh (AUS),1986-2004,17,25,1,1084,103,45.16,2253,48.11,3,7,3,123,1
79,MA Atherton (ENG),1989-2001,11,19,1,1083,160,60.16,2782,38.92,5,3,2,138,1
80,ED Weekes (WI),1948-1958,7,13,2,1074,207,97.63,-,-,4,4,0,20+,2
81,Javed Miandad (PAK),1978-1992,15,23,4,1068,203*,56.21,1543+,44.65*,5,2,0,77+,9
82,JG Wright (NZ),1978-1993,15,29,2,1060,130,39.25,3213+,31.68*,3,5,1,135+,3
83,SR Waugh (AUS),1986-2003,15,26,2,1056,170,44.00,2139,49.36,3,4,1,112,1
84,JL Langer (AUS),1993-2006,11,20,1,1051,215,55.31,2147,48.95,3,4,0,106,6
85,G Kirsten (SA),1994-2003,11,18,2,1048,275,65.50,2465,42.51,3,4,1,126,0
86,Tamim Iqbal (BAN),2008-2022,16,30,0,1038,133,34.60,2183,47.54,2,7,4,126,4
87,CH Lloyd (WI),1968-1983,16,28,2,1035,143,39.80,314+,46.81*,2,7,1,77+,10
88,TM Dilshan (SL),2001-2013,13,23,2,1034,126,49.23,1394,74.17,4,6,3,125,5
89,MJ Clarke (AUS),2004-2013,10,13,3,1030,259*,103.00,1737,59.29,5,2,0,109,5
90,Younis Khan (PAK),2010-2015,9,16,2,1024,131*,73.14,2009,50.97,5,4,0,81,14
91,WM Lawry (AUS),1962-1971,8,13,0,1023,205,78.69,2335,43.81,4,5,0,82,1
92,BB McCullum (NZ),2004-2016,17,28,0,1021,302,36.46,1836,55.61,2,4,5,115,12
93,SM Gavaskar (INDIA),1973-1987,12,21,4,1018,236*,59.88,1522+,47.17*,3,3,0,83+,5
94,IVA Richards (WI),1976-1991,14,21,0,1015,177,48.33,802+,69.07*,3,4,1,79+,7
95,GS Chappell (AUS),1974-1983,7,11,2,1006,201,111.77,1852,54.31,5,4,0,98,4
96,JG Wright (NZ),1978-1993,13,23,2,1005,138,47.85,2985,33.66,3,4,1,114,1
